rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
burnaby_r1_101,Burnaby,R1,verified,building_separation,minimum,building_separation,Rear Principal Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b3_073,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Rear Principals | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 2.4 m,Rear Principal Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_102,Burnaby,R1,verified,building_separation,minimum,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,2,burnaby_r1_matrix_p2_t0_b0_074,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | Rowhouse 1 to 3 Units | 6.0 m,Front and Rear Principal Buildings: building separation for building separation must be at least 6.0 m.
burnaby_r1_103,Burnaby,R1,verified,building_separation,minimum,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,2,burnaby_r1_matrix_p2_t0_b1_075,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | Small-Scale Multi-Unit 1 to 2 Units | 6.0 m,Front and Rear Principal Buildings: building separation for building separation must be at least 6.0 m.
burnaby_r1_104,Burnaby,R1,verified,building_separation,minimum,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,2,burnaby_r1_matrix_p2_t0_b2_076,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | Small-Scale Multi-Unit 3 to 4 Units | 6.0 m,Front and Rear Principal Buildings: building separation for building separation must be at least 6.0 m.
burnaby_r1_105,Burnaby,R1,verified,building_separation,minimum,building_separation,Front and Rear Principal Buildings,>=,6.0,m,,,2,burnaby_r1_matrix_p2_t0_b3_077,Minimum Separation of Buildings on the Same Lot .4 .5 | Between Front & Rear Principals | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 6.0 m,Front and Rear Principal Buildings: building separation for building separation must be at least 6.0 m.
burnaby_r1_106,Burnaby,R1,verified,building_separation,minimum,building_separation,All Other Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b0_078,Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | Rowhouse 1 to 3 Units | 2.4 m,All Other Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_107,Burnaby,R1,verified,building_separation,minimum,building_separation,All Other Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b1_079,Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | Small-Scale Multi-Unit 1 to 2 Units | 2.4 m,All Other Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_108,Burnaby,R1,verified,building_separation,minimum,building_separation,All Other Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b2_080,Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | Small-Scale Multi-Unit 3 to 4 Units | 2.4 m,All Other Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_109,Burnaby,R1,verified,building_separation,minimum,building_separation,All Other Buildings,>=,2.4,m,,,2,burnaby_r1_matrix_p2_t0_b3_081,Minimum Separation of Buildings on the Same Lot .4 .5 | Between All Other Buildings | Small-Scale Multi-Unit 5 to 6 Units Frequent Transit Network Area Only | 2.4 m,All Other Buildings: building separation for building separation must be at least 2.4 m.
burnaby_r1_110,Burnaby,R1,verified,automatic_sprinkler,required,dwelling_unit,Dwelling units more than 45 m from a street lot line,>,45,m,distance from lot line abutting a street,,6,m4_pack_0035_v3_clause_ev_001,Parent context: 101.6.3 Access and Fire Safety (1) Dwelling units located more than 45 m from a lot line abutting a street shall contain an automatic sprinkler system,Dwelling units more than 45 m from a street lot line: automatic sprinkler for dwelling unit must be more than 45 m when distance from lot line abutting a street.
